Type	INode   	Name                	Size(bytes)	Block	B-Size	Depth	Offset	Mode 	UID  	GID  	Path
file	11141215	1dff58694e2e700c4a21b16df4b6f139936b16	413     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/3c/1dff58694e2e700c4a21b16df4b6f139936b16	
dir	11141143	12                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/12	
file	11141144	0d0bc729706d6457d4a1c7c2e18fd8a07b155c	164     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/12/0d0bc729706d6457d4a1c7c2e18fd8a07b155c	
dir	11012869	pack                	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/pack	
dir	11141216	27                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/27	
file	11141217	4d7a4135b5133ec888ce16558e69b70c708bd1	172     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/27/4d7a4135b5133ec888ce16558e69b70c708bd1	
dir	11011030	9a                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/9a	
file	11016819	284fc6d30e94e2900037d1bfb96c455bfc9815	442     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/9a/284fc6d30e94e2900037d1bfb96c455bfc9815	
dir	11012104	28                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/28	
file	11012106	b08f8cecf453cfe9bfed1bd601b2e406cfeca8	4741    	16   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/28/b08f8cecf453cfe9bfed1bd601b2e406cfeca8	
dir	11141248	b7                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/b7	
file	11141249	ff4c6ecceee4f69478087e9638a509a0a8b627	414     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/b7/ff4c6ecceee4f69478087e9638a509a0a8b627	
dir	11141158	55                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/55	
file	11141159	e6c5584b7767f8d10907191b179372c17a2844	172     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/55/e6c5584b7767f8d10907191b179372c17a2844	
dir	11141283	35                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/35	
file	11141284	8ade38c611f97b09192a8bb95039dcf976db33	442     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/35/8ade38c611f97b09192a8bb95039dcf976db33	
dir	11141145	54                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/54	
file	11141146	7a6cb0ffa14287091964461e0c58a22d9b607f	94      	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/54/7a6cb0ffa14287091964461e0c58a22d9b607f	
dir	11141172	20                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/20	
file	11141173	4598943e79429223e353700a0e1fa412fe129c	415     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/20/4598943e79429223e353700a0e1fa412fe129c	
dir	11011033	ae                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/ae	
file	11015811	801bdb9fcd3eebcbd549637ecd61b49e3bd972	25177   	56   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/ae/801bdb9fcd3eebcbd549637ecd61b49e3bd972	
dir	11141135	4a                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/4a	
file	11141136	c1f0dbacb6c6273b39ac8786cf3b5d1946b5c1	541860  	1064 	4096 	4   	18  	33060	1000 	1000 	./.git/objects/4a/c1f0dbacb6c6273b39ac8786cf3b5d1946b5c1	
dir	11141281	ea                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/ea	
file	11141297	3fb878bf2ff9760a2dd01e7e4b593fab2fe9bc	159     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/ea/3fb878bf2ff9760a2dd01e7e4b593fab2fe9bc	
file	11141282	743b4edbd78390594297c0509d53d91d162499	4678    	16   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/ea/743b4edbd78390594297c0509d53d91d162499	
dir	11016816	bd                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/bd	
file	11016822	e708e8ed95a71f0fe1fedb8ee2b3e267a8f580	442     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/bd/e708e8ed95a71f0fe1fedb8ee2b3e267a8f580	
dir	11141206	71                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/71	
file	11141220	e3982bc194b8f68c5c5db1f94a9ce1aebdaad5	414     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/71/e3982bc194b8f68c5c5db1f94a9ce1aebdaad5	
file	11141219	c2d6e04535a732fa1bb96c1f9d8cd97bf4a29d	2541    	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/71/c2d6e04535a732fa1bb96c1f9d8cd97bf4a29d	
dir	11141218	6c                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/6c	
file	11141223	d6931b8a32c158f5453e79b414dd515df0d588	2740    	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/6c/d6931b8a32c158f5453e79b414dd515df0d588	
dir	11012874	41                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/41	
file	11012875	a64dcfc7da0c2ff9e04051bc86abf45c4d8838	165     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/41/a64dcfc7da0c2ff9e04051bc86abf45c4d8838	
dir	11141133	ad                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/ad	
file	11141134	5b184489fb8358d2fde9d9ddb219a32fade83f	377     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/ad/5b184489fb8358d2fde9d9ddb219a32fade83f	
dir	11141147	2d                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/2d	
file	11141148	a0d4f6011fc1ef2df59a779e25ae1b3a96cb16	51      	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/2d/a0d4f6011fc1ef2df59a779e25ae1b3a96cb16	
